variant,endpoint,repeat,server_threads,client_threads,warmup_requests,requests,avg_ms,min_ms,p50_ms,p95_ms,p99_ms,throughput_rps,errors
Virtual + own parser,Request-1,1,12,64,500,5000,119.278,17.775,117.758,138.442,145.695,530.724,0
Virtual + own parser,Request-1,2,12,64,500,5000,117.241,13.383,116.528,136.572,142.813,540.586,0
Virtual + own parser,Request-1,3,12,64,500,5000,115.758,13.218,115.510,135.163,141.283,547.437,0
Virtual + own parser,Request-2,1,12,64,500,5000,20.252,3.927,19.778,30.353,35.480,3116.239,0
Virtual + own parser,Request-2,2,12,64,500,5000,18.194,3.078,17.755,26.111,31.960,3476.489,0
Virtual + own parser,Request-2,3,12,64,500,5000,17.268,4.709,16.939,25.162,29.685,3665.347,0
Virtual + GSON,Request-1,1,12,64,500,5000,112.395,7.101,112.473,132.779,138.483,565.085,0
Virtual + GSON,Request-1,2,12,64,500,5000,100.912,7.567,101.130,120.082,126.863,628.981,0
Virtual + GSON,Request-1,3,12,64,500,5000,107.545,5.269,107.094,133.295,148.231,590.174,0
Virtual + GSON,Request-2,1,12,64,500,5000,17.827,3.339,17.024,28.301,35.507,3555.757,0
Virtual + GSON,Request-2,2,12,64,500,5000,16.251,4.658,16.027,22.545,25.838,3892.165,0
Virtual + GSON,Request-2,3,12,64,500,5000,16.128,4.976,15.828,22.392,25.879,3918.445,0
Classic + own parser,Request-1,1,12,64,500,5000,100.139,5.988,100.493,117.836,123.628,633.846,0
Classic + own parser,Request-1,2,12,64,500,5000,100.251,7.623,100.669,117.974,122.548,633.236,0
Classic + own parser,Request-1,3,12,64,500,5000,96.414,8.151,96.787,113.675,118.563,657.917,0
Classic + own parser,Request-2,1,12,64,500,5000,15.974,4.212,15.832,21.031,23.606,3951.056,0
Classic + own parser,Request-2,2,12,64,500,5000,16.724,6.365,16.313,22.514,35.106,3791.503,0
Classic + own parser,Request-2,3,12,64,500,5000,15.946,5.178,15.685,22.109,25.487,3977.749,0
Classic + GSON,Request-1,1,12,64,500,5000,94.334,8.755,94.738,110.784,114.800,673.283,0
Classic + GSON,Request-1,2,12,64,500,5000,95.170,8.555,95.466,111.838,115.576,667.386,0
Classic + GSON,Request-1,3,12,64,500,5000,93.970,6.169,94.330,109.863,113.573,675.067,0
Classic + GSON,Request-2,1,12,64,500,5000,16.672,5.765,16.509,22.083,25.075,3788.280,0
Classic + GSON,Request-2,2,12,64,500,5000,17.816,5.050,17.366,24.507,31.716,3553.156,0
Classic + GSON,Request-2,3,12,64,500,5000,16.008,4.516,15.710,21.552,24.695,3956.373,0
